episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
93,-87.34751353481019,-108.575737308877,119,110.43780256119095,0.0003,1,dqn_learning_rate_low_seed1,0.6274028820538087,9733,8.95180714627107
94,-97.90286831735531,-108.84610597238192,119,52.20763823364963,0.0003,1,dqn_learning_rate_low_seed1,0.6242658676435396,9852,20.171500391430325
95,-30.69415421745869,-104.99492124914144,112,116.30368305636304,0.0003,1,dqn_learning_rate_low_seed1,0.6211445383053219,9964,15.958285650428461
96,-202.87497983272797,-107.7423183262631,530,96.57605275388033,0.0003,1,dqn_learning_rate_low_seed1,0.6180388156137953,10494,-3.7829873831363385
97,-86.0947123499228,-103.39859544926333,103,57.87685821125808,0.0003,1,dqn_learning_rate_low_seed1,0.6149486215357263,10597,9.13635892617075
98,-75.21357050396185,-104.69149429677509,98,86.72635051182338,0.0003,1,dqn_learning_rate_low_seed1,0.6118738784280476,10695,14.91946814091582
99,-66.27358825110585,-104.47241851925986,192,81.68275243913133,0.0003,1,dqn_learning_rate_low_seed1,0.6088145090359074,10887,25.65381107610815
100,38.68293018777024,-101.0933435005707,119,74.61208831362363,0.0003,1,dqn_learning_rate_low_seed1,0.6057704364907278,11006,32.803200310351805
101,-36.53110784360686,-100.18704995776925,190,71.31447165451551,0.0003,1,dqn_learning_rate_low_seed1,0.6027415843082742,11196,27.877514025439385
102,-31.124305677527033,-97.93159484220281,170,65.79710866423214,0.0003,1,dqn_learning_rate_low_seed1,0.5997278763867329,11366,25.449881373946347
103,-56.133279300513806,-97.09189269138888,179,56.84372322253009,0.0003,1,dqn_learning_rate_low_seed1,0.5967292370047992,11545,11.587908923625946
104,-62.93605387362026,-95.94245271191495,90,79.0582087834676,0.0003,1,dqn_learning_rate_low_seed1,0.5937455908197752,11635,20.50602186024189
105,-81.91315743744747,-95.66158476961704,92,84.28685845240302,0.0003,1,dqn_learning_rate_low_seed1,0.5907768628656763,11727,7.293880639537688
106,-74.25186843492455,-89.91245299112038,109,102.80864526153704,0.0003,1,dqn_learning_rate_low_seed1,0.5878229785513479,11836,12.914179215244218
107,-69.36731407768724,-88.38795823383072,93,89.29581714445546,0.0003,1,dqn_learning_rate_low_seed1,0.5848838636585911,11929,19.34506849758327
108,-64.5120714983558,-89.55412785530532,121,88.23993718525595,0.0003,1,dqn_learning_rate_low_seed1,0.5819594443402982,12050,13.564819578397072
109,-4.260882914383373,-86.18726623579107,154,80.79593471428016,0.0003,1,dqn_learning_rate_low_seed1,0.5790496471185967,12204,27.44391292333603
110,-2.536943656155131,-85.12235224984883,139,104.0760430757948,0.0003,1,dqn_learning_rate_low_seed1,0.5761543988830038,12343,18.0551388370457
111,-71.39237558524201,-84.42220012051284,941,109.69322065035165,0.0003,1,dqn_learning_rate_low_seed1,0.5732736268885887,13284,-3.897712728227763
112,-122.53266382983477,-82.61320647275124,106,87.25443674933236,0.0003,1,dqn_learning_rate_low_seed1,0.5704072587541458,13390,27.205760500647806
113,-5.498120944649742,-80.97224525923338,117,86.96764009019249,0.0003,1,dqn_learning_rate_low_seed1,0.567555222460375,13507,32.8270941734314
114,25.546508509206546,-78.0313875182909,144,65.09733162654771,0.0003,1,dqn_learning_rate_low_seed1,0.5647174463480732,13651,41.56563757757346
115,-75.18269406466398,-77.55745745389113,157,83.58574236274525,0.0003,1,dqn_learning_rate_low_seed1,0.5618938591163328,13808,29.96986379623413
116,5.430496126606769,-75.9596196478414,172,97.94833994743436,0.0003,1,dqn_learning_rate_low_seed1,0.5590843898207511,13980,22.333094873693256
117,-95.9399523097775,-76.39145153452691,118,132.55638332084075,0.0003,1,dqn_learning_rate_low_seed1,0.5562889678716474,14098,32.79432772738593
118,-44.183901986551675,-73.8678926637197,174,123.16410580722766,0.0003,1,dqn_learning_rate_low_seed1,0.5535075230322891,14272,31.111615679766004
119,-33.836715857402794,-72.91397098811754,110,96.74465327046134,0.0003,1,dqn_learning_rate_low_seed1,0.5507399854171277,14382,31.58753766031826
120,-137.05238360679982,-72.64158297898064,151,90.81161715810661,0.0003,1,dqn_learning_rate_low_seed1,0.547986285490042,14533,-0.3687890822237188
121,-48.16655799670779,-71.34920816873992,107,155.83355467787413,0.0003,1,dqn_learning_rate_low_seed1,0.5452463540625918,14640,41.71431024401796
122,-16.6711129594149,-66.42784066353411,101,125.63156790072375,0.0003,1,dqn_learning_rate_low_seed1,0.5425201222922789,14741,24.80679437849257
123,-49.33325642949441,-64.68239421530204,135,69.51602804572494,0.0003,1,dqn_learning_rate_low_seed1,0.5398075216808175,14876,27.312102175595466
124,-32.16417339301437,-64.2885059617046,1000,91.96796250271797,0.0003,1,dqn_learning_rate_low_seed1,0.5371084840724134,15876,-2.4358552859355043
125,-59.183902247807794,-63.85002276356932,573,123.06903990068153,0.0003,1,dqn_learning_rate_low_seed1,0.5344229416520513,16449,10.44959738393853
