episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
164,-69.87325577528158,-217.35487187956386,97,136.35287345807578,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986659252366481,15001,0.0
165,-108.70120868213017,-214.44680522336913,121,133.75070591800468,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986577960960167,15122,0.0
166,-339.1426311401451,-215.11756641172775,76,246.5155729431855,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986496670215564,15198,0.0
167,-94.35709627992048,-214.3100255682762,58,209.07651686668396,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986415380132668,15256,0.0
168,-136.15127645219604,-210.5326039584384,81,91.97488851900454,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986334090711474,15337,0.0
169,-36.240352150170935,-209.42197464427085,102,166.28356692136504,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986252801951975,15439,0.0
170,-73.01055712353423,-206.10821222586898,79,158.23976391176635,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986171513854166,15518,0.0
171,-145.76263450628636,-207.10718360601774,74,148.00622423919472,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986090226418043,15592,0.0
172,-91.7870938220656,-207.18109940504982,63,280.4069579593719,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986008939643599,15655,36.748111724853516
173,-77.09999558102447,-200.19306932598124,89,213.4763361737969,0.001,1,dqn_epsilon_decay_vath187_seed1,0.998592765353083,15744,62.576419830322266
174,-166.25244519845455,-196.5084096589071,106,224.14795019491663,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9985846368079729,15850,0.0
175,1.505462063192283,-194.23224903658593,71,179.3713497443938,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9985765083290292,15921,0.0
176,-359.608994380558,-195.23205585421562,84,241.08026914937156,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9985683799162514,16005,0.0
177,-223.49216970341854,-193.89952497023015,141,330.3036589115224,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9985602515696388,16146,0.0
